Open,High,Low,Close,Volume,Spread,RSI_14,MACD,MACD_Signal,SMA_20,SMA_50,BB_Upper,BB_Lower,ATR,Volatility_20,signal,signal_strength,xgb_signal,xgb_probability,rf_signal,rf_probability,DateTime,DateOnly,HourOfDay
1.08103,1.08103,1.08019,1.08054,2651,0.9,,0.0,0.0,,,,,,,HOLD,0.0,SELL,0.05804666,BUY,0.8314366818385267,2023-01-01 00:00:00,2023-01-01,0
1.0801,1.08043,1.07974,1.08028,2292,1.0,,-2.0740740740876618e-05,-4.148148148175324e-06,,,,,,,HOLD,0.2,SELL,0.042610798,BUY,0.8456791060809509,2023-01-01 01:00:00,2023-01-01,1
1.08036,1.08158,1.07961,1.08054,1796,1.2,,-1.601350638402721e-05,-6.5212197953457015e-06,,,,,,,HOLD,0.2,SELL,0.04109989,BUY,0.7428826877380768,2023-01-01 02:00:00,2023-01-01,2
1.08068,1.08126,1.07973,1.08088,4019,1.4,,1.4995164481002021e-05,-2.217942940076157e-06,,,,,,,HOLD,0.2,SELL,0.056363016,BUY,0.8316205814553341,2023-01-01 03:00:00,2023-01-01,3
1.08042,1.08042,1.07967,1.0803,2207,1.6,,-7.148984151550408e-06,-3.2041511823710075e-06,,,,,,,HOLD,0.2,SELL,0.03920848,BUY,0.8456791060809509,2023-01-01 04:00:00,2023-01-01,4
1.07981,1.08053,1.07981,1.07998,2972,1.9,,-4.994398397317745e-05,-1.2552117740532298e-05,,,,,,,HOLD,0.2,SELL,0.053289223,BUY,0.8646464005086034,2023-01-01 05:00:00,2023-01-01,5
1.08023,1.08153,1.08023,1.08087,1534,2.0,,-1.190651677940302e-05,-1.2422997548306444e-05,,,,,,,HOLD,0.2,SELL,0.035825238,BUY,0.7121979692567935,2023-01-01 06:00:00,2023-01-01,6
1.08075,1.0812,1.08061,1.08108,1350,1.1,,3.47827411848467e-05,-2.981849801675815e-06,,,,,,,HOLD,0.2,SELL,0.04414736,BUY,0.7057034210763383,2023-01-01 07:00:00,2023-01-01,7
1.08001,1.08116,1.08001,1.08058,3505,0.9,,3.108021974718156e-05,3.83056410809566e-06,,,,,,,HOLD,0.2,SELL,0.06608304,BUY,0.8507575116197146,2023-01-01 08:00:00,2023-01-01,8
1.08046,1.08048,1.07969,1.08017,4348,0.9,,-4.881359381814221e-06,2.0881794101136835e-06,,,,,,,HOLD,0.2,SELL,0.059299126,BUY,0.8358381249113433,2023-01-01 09:00:00,2023-01-01,9
1.07958,1.07958,1.07908,1.07926,2345,1.2,,-0.00010559335033044626,-1.9448126537998308e-05,,,,,,,SELL,0.4,SELL,0.07588526,BUY,0.8117514947028376,2023-01-01 10:00:00,2023-01-01,10
1.07933,1.0797,1.07858,1.07906,3457,1.4,,-0.00019924982927532753,-5.5408467085464153e-05,,,,,,,SELL,0.4,SELL,0.117474765,BUY,0.8493824906594848,2023-01-01 11:00:00,2023-01-01,11
1.07995,1.07995,1.07926,1.07945,2928,1.4,,-0.0002392456480579952,-9.217590327997037e-05,,,,,,,SELL,0.4,SELL,0.12612928,BUY,0.8329538938284377,2023-01-01 12:00:00,2023-01-01,12
1.08068,1.08136,1.08068,1.08114,5020,1.4,54.31034482758527,-0.00013304014256765306,-0.00010034875113750693,,,,,0.0011614285714286149,,HOLD,0.0,SELL,0.085866496,BUY,0.7791329429047619,2023-01-01 13:00:00,2023-01-01,13
