entry_price,exit_price,pnl,position,EntryDateTime,Strategy
,1.072484454,-159.88139999999146,0,2023-01-03 10:00:00,Composite
,1.07191434,-115.86740000001032,0,2023-01-03 13:00:00,Composite
,1.074105136,-289.0079999999872,0,2023-01-04 19:00:00,Composite
,1.0708141199999999,-13.843799999987354,0,2023-01-05 09:00:00,Composite
,1.069303818,-151.75580000000514,0,2023-01-05 19:00:00,Composite
,1.07383519,117.08400000000404,0,2023-01-07 14:00:00,Composite
,1.0734052760000001,-222.9667999999651,0,2023-01-08 09:00:00,Composite
,1.073345288,-232.9663999999753,0,2023-01-08 17:00:00,Composite
,1.0769845599999999,-122.0898000000214,0,2023-01-09 12:00:00,Composite
,1.078364284,-125.14559999999503,0,2023-01-09 19:00:00,Composite
,1.080413874,-127.22800000000916,0,2023-01-10 05:00:00,Composite
,1.081713614,-132.28099999998625,0,2023-01-11 09:00:00,Composite
,1.0834132740000002,-180.3585999999712,0,2023-01-11 17:00:00,Composite
,1.082763404,-366.3697999999848,0,2023-01-11 20:00:00,Composite
,1.085202916,-142.42259999997725,0,2023-01-12 06:00:00,Composite
,1.090311894,115.42459999999483,0,2023-01-13 04:00:00,Composite
,1.0907818,-293.6759999999949,0,2023-01-13 19:00:00,Composite
,1.0909717620000001,-273.6795999999841,0,2023-01-13 22:00:00,Composite
,1.0900919379999998,-337.65720000001545,0,2023-01-14 23:00:00,Composite
,1.097160524,153.15819999998433,0,2023-01-15 17:00:00,Composite
,1.098040348,-222.95220000000054,0,2023-01-15 20:00:00,Composite
,1.09918012,-286.0104000000107,0,2023-01-16 09:00:00,Composite
,1.106398676,281.81440000000566,0,2023-01-17 02:00:00,Composite
,1.106868582,-229.30659999998653,0,2023-01-18 04:00:00,Composite
,1.107898376,-181.3381999999774,0,2023-01-18 12:00:00,Composite
,1.109887978,-86.39880000001703,0,2023-01-18 20:00:00,Composite
,1.1127374079999999,126.52980000000042,0,2023-01-20 10:00:00,Composite
,1.1157768000000001,-105.63819999998773,0,2023-01-21 01:00:00,Composite
